id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Funkytown Express,The Grooveliner,funk,energetic,0.85,112,0.75,0.88,0.12
12,Neon Cathedral,CyberPulse,synthwave,moody,0.68,95,0.45,0.62,0.25
13,Midnight Espresso,Caffeine High,jazz,focused,0.42,120,0.68,0.55,0.78
14,Viking Thunder,Odin's Echo,metal,intense,0.96,165,0.32,0.45,0.02
15,Retro Future,80s Kids,synthwave,happy,0.72,118,0.82,0.79,0.15
16,Deep Space House,Orbital,house,chill,0.55,124,0.58,0.81,0.08
17,Acoustic Morning,String Theory,folk,happy,0.38,88,0.72,0.52,0.92
18,Gritty Streets,Concrete Jungle,hiphop,intense,0.88,92,0.55,0.85,0.18
19,Rainy Day Piano,Solitude,ambient,chill,0.15,65,0.42,0.35,0.98
20,Sunset Groove,Summer Heat,funk,happy,0.78,110,0.88,0.82,0.10